,SNID,time,flux,fluxerr,object_index,band_index,norm_factor
2080,6207.0,6.0,0.8389658187690949,0.004635975016387618,10,0,"[24.820204, 55.808903]"
2083,6207.0,12.0,0.5170334561136241,0.003965322522107268,10,0,"[24.820204, 55.808903]"
2086,6207.0,18.0,0.2688798057901263,0.00335816849867126,10,0,"[24.820204, 55.808903]"
2165,8260.0,-6.0,0.6423239357020553,0.01780811791303971,11,1,"[9.041782, 31.139553000000003]"
2168,8260.0,0.0,1.0,0.018886164253904818,11,1,"[9.041782, 31.139553000000003]"
2171,8260.0,6.0,0.8585508918485317,0.01846735632422901,11,1,"[9.041782, 31.139553000000003]"
2174,8260.0,12.0,0.5889772281614399,0.017641685012976426,11,1,"[9.041782, 31.139553000000003]"
2177,8260.0,18.0,0.45277711849279273,0.017209462692199393,11,1,"[9.041782, 31.139553000000003]"
2277,8260.0,-6.0,0.9224502997843288,0.007097261158501536,11,0,"[9.041782, 31.139553000000003]"
2280,8260.0,0.0,1.0,0.007270591841828943,11,0,"[9.041782, 31.139553000000003]"
2283,8260.0,6.0,0.8661752466388968,0.006968782114502413,11,0,"[9.041782, 31.139553000000003]"
2286,8260.0,12.0,0.6339731337826204,0.006411482207210873,11,0,"[9.041782, 31.139553000000003]"
2289,8260.0,18.0,0.4061839294867206,0.005813088582228524,11,0,"[9.041782, 31.139553000000003]"
2378,7606.0,-6.0,0.6314738140765077,0.019789721470550498,12,1,"[8.018792999999999, 26.784662]"
2381,7606.0,0.0,1.0,0.020918674418955577,12,1,"[8.018792999999999, 26.784662]"
2384,7606.0,6.0,0.9808218019844136,0.020861430142915527,12,1,"[8.018792999999999, 26.784662]"
2387,7606.0,12.0,0.5530428332543315,0.019541038158735362,12,1,"[8.018792999999999, 26.784662]"
2390,7606.0,18.0,0.41008575729539354,0.019079425045639666,12,1,"[8.018792999999999, 26.784662]"
2486,7606.0,-6.0,0.8551645340904432,0.007744073455173711,12,0,"[8.018792999999999, 26.784662]"
2489,7606.0,0.0,1.0,0.008085671194954784,12,0,"[8.018792999999999, 26.784662]"
2492,7606.0,6.0,0.9365561529206528,0.007937847787662954,12,0,"[8.018792999999999, 26.784662]"
2495,7606.0,12.0,0.6965819094525068,0.007351872127413815,12,0,"[8.018792999999999, 26.784662]"
2498,7606.0,18.0,0.5451579340444915,0.0069567691389945474,12,0,"[8.018792999999999, 26.784662]"
2586,5792.0,-6.0,0.7439595666628578,0.011342656737014735,13,1,"[15.726231, 27.788307]"
2589,5792.0,0.0,1.0,0.012038976789797887,13,1,"[15.726231, 27.788307]"
2592,5792.0,6.0,0.8293668075968107,0.011579583181755374,13,1,"[15.726231, 27.788307]"
2595,5792.0,12.0,0.4605268420640648,0.010518218255855456,13,1,"[15.726231, 27.788307]"
2598,5792.0,18.0,0.250097305578177,0.009861649622213994,13,1,"[15.726231, 27.788307]"
2672,5792.0,-6.0,0.8162782281050803,0.007445067812155667,13,0,"[15.726231, 27.788307]"
2675,5792.0,0.0,1.0,0.00787657988664081,13,0,"[15.726231, 27.788307]"
2678,5792.0,6.0,0.875972220977694,0.007587964606839848,13,0,"[15.726231, 27.788307]"
2681,5792.0,12.0,0.6126996869582592,0.0069356315949726625,13,0,"[15.726231, 27.788307]"
2684,5792.0,18.0,0.4288613552455715,0.00644106458158822,13,0,"[15.726231, 27.788307]"
2766,4829.0,-6.0,0.6056674433686767,0.004150051830712165,14,1,"[56.01891, 52.199432]"
2769,4829.0,0.0,1.0,0.004925667957480786,14,1,"[56.01891, 52.199432]"
2772,4829.0,6.0,0.4156179225907823,0.0037189156304540737,14,1,"[56.01891, 52.199432]"
2775,4829.0,12.0,0.07834456793250708,0.0027945711546333196,14,1,"[56.01891, 52.199432]"
2778,4829.0,18.0,0.028114834794179325,0.002629253050443145,14,1,"[56.01891, 52.199432]"
2879,4829.0,-6.0,0.7349620202763892,0.004632872825129592,14,0,"[56.01891, 52.199432]"
2882,4829.0,0.0,1.0,0.005151788241680484,14,0,"[56.01891, 52.199432]"
2885,4829.0,6.0,0.3842280889186687,0.003839843314770168,14,0,"[56.01891, 52.199432]"
2888,4829.0,12.0,0.11488209296990051,0.003095877173529398,14,0,"[56.01891, 52.199432]"
2891,4829.0,18.0,0.08858679343484044,0.0030134216786113686,14,0,"[56.01891, 52.199432]"
2979,2452.0,-6.0,0.31713679093230573,0.0013521810268215658,15,1,"[222.83151, 237.23717]"
2982,2452.0,0.0,1.0,0.0022119845617884115,15,1,"[222.83151, 237.23717]"
2985,2452.0,6.0,0.7141234199777221,0.0018999864965237637,15,1,"[222.83151, 237.23717]"
2988,2452.0,12.0,0.4079691422456366,0.001495333133092353,15,1,"[222.83151, 237.23717]"
2991,2452.0,18.0,0.22061072062923237,0.0011811916546273012,15,1,"[222.83151, 237.23717]"
3059,2452.0,-6.0,0.5408510816412117,0.001623963479247371,15,0,"[222.83151, 237.23717]"
3062,2452.0,0.0,1.0,0.002138377556940171,15,0,"[222.83151, 237.23717]"
3065,2452.0,6.0,0.8207474402093062,0.001953733472710031,15,0,"[222.83151, 237.23717]"
3068,2452.0,12.0,0.5822047194375148,0.001676773922062887,15,0,"[222.83151, 237.23717]"
3071,2452.0,18.0,0.3951637764014804,0.0014223774461649497,15,0,"[222.83151, 237.23717]"
3136,5223.0,-6.0,0.8944008794421625,0.008088164263869595,16,1,"[25.658083, 48.8286]"
3139,5223.0,0.0,1.0,0.008338706363994535,16,1,"[25.658083, 48.8286]"
3142,5223.0,6.0,0.9101741155019257,0.008126079021569928,16,1,"[25.658083, 48.8286]"
3145,5223.0,12.0,0.6904320170762562,0.00758082472490248,16,1,"[25.658083, 48.8286]"
3148,5223.0,18.0,0.4029685304237265,0.006801858502055668,16,1,"[25.658083, 48.8286]"
3229,5223.0,-6.0,0.8990145119868275,0.0051816886005332935,16,0,"[25.658083, 48.8286]"
3232,5223.0,0.0,1.0,0.005377550861585218,16,0,"[25.658083, 48.8286]"
3235,5223.0,6.0,0.9025979446471945,0.005188764781296208,16,0,"[25.658083, 48.8286]"
3238,5223.0,12.0,0.6792051174926169,0.0047273923479272395,16,0,"[25.658083, 48.8286]"
3241,5223.0,18.0,0.4366879246998685,0.004169117074829096,16,0,"[25.658083, 48.8286]"
3321,5749.0,-6.0,0.41232633028175825,0.0027053997961764375,17,1,"[87.68368000000001, 49.95432]"
3324,5749.0,0.0,1.0,0.0037445143725719533,17,1,"[87.68368000000001, 49.95432]"
3327,5749.0,6.0,0.7257865659835444,0.0033006192258354114,17,1,"[87.68368000000001, 49.95432]"
3330,5749.0,12.0,0.49303880722159465,0.0028704849066553775,17,1,"[87.68368000000001, 49.95432]"
3333,5749.0,18.0,0.3435125099676473,0.0025562457004541777,17,1,"[87.68368000000001, 49.95432]"
3411,5749.0,-6.0,0.6240886073516765,0.004533807886885458,17,0,"[87.68368000000001, 49.95432]"
3414,5749.0,0.0,1.0,0.005299105262567882,17,0,"[87.68368000000001, 49.95432]"
3417,5749.0,6.0,0.9290988246862333,0.005163448726756764,17,0,"[87.68368000000001, 49.95432]"
3420,5749.0,12.0,0.79177496560858,0.004890011114153891,17,0,"[87.68368000000001, 49.95432]"
3423,5749.0,18.0,0.6713638580206877,0.004637001364446558,17,0,"[87.68368000000001, 49.95432]"
3503,2952.0,-6.0,0.7843085600443128,0.0019195444107638873,18,1,"[235.99504, 244.22885]"
3506,2952.0,0.0,1.0,0.002144438713627202,18,1,"[235.99504, 244.22885]"
3509,2952.0,6.0,0.7275718591373785,0.001855865487681436,18,1,"[235.99504, 244.22885]"
3512,2952.0,12.0,0.3180846512706369,0.001307319425018424,18,1,"[235.99504, 244.22885]"
3515,2952.0,18.0,0.11264122754444332,0.000915719965978946,18,1,"[235.99504, 244.22885]"
3610,2952.0,-6.0,0.8411209404621935,0.0019445513091512325,18,0,"[235.99504, 244.22885]"
3613,2952.0,0.0,1.0,0.0021051872454871732,18,0,"[235.99504, 244.22885]"
3616,2952.0,6.0,0.6813466549918243,0.0017683554584153347,18,0,"[235.99504, 244.22885]"
3619,2952.0,12.0,0.34702272069823037,0.0013259653804208633,18,0,"[235.99504, 244.22885]"
3622,2952.0,18.0,0.15664703412393746,0.0009892863189586325,18,0,"[235.99504, 244.22885]"
3720,2646.0,-6.0,0.6088872551287335,0.005468520531756512,19,1,"[38.04448, 42.344463]"
3723,2646.0,0.0,1.0,0.006339173514791108,19,1,"[38.04448, 42.344463]"
3726,2646.0,6.0,0.7962584848051544,0.005901675354742659,19,1,"[38.04448, 42.344463]"
3729,2646.0,12.0,0.4133819150636308,0.0049765301037101835,19,1,"[38.04448, 42.344463]"
3732,2646.0,18.0,0.18812391180008245,0.004341076024695304,19,1,"[38.04448, 42.344463]"
3841,2646.0,-6.0,0.6965810382339718,0.005260298140987171,19,0,"[38.04448, 42.344463]"
3844,2646.0,0.0,1.0,0.005902222210256864,19,0,"[38.04448, 42.344463]"
3847,2646.0,6.0,0.7870783483545416,0.0054596613965797606,19,0,"[38.04448, 42.344463]"
3850,2646.0,12.0,0.485124938294766,0.0047620398445010394,19,0,"[38.04448, 42.344463]"
3853,2646.0,18.0,0.2780443572988516,0.004217421059277573,19,0,"[38.04448, 42.344463]"
3935,4040.0,-6.0,0.5288095414987531,0.0030277679957002057,20,1,"[83.85517, 45.918972]"
3938,4040.0,0.0,1.0,0.0038453192569998964,20,1,"[83.85517, 45.918972]"
3941,4040.0,6.0,0.6735674973886524,0.0033005552311205144,20,1,"[83.85517, 45.918972]"
3944,4040.0,12.0,0.4413805374194578,0.002850396701837227,20,1,"[83.85517, 45.918972]"
3947,4040.0,18.0,0.2846962566529887,0.0025012497142394437,20,1,"[83.85517, 45.918972]"
4005,4040.0,-6.0,0.7797595294598495,0.005150020562307013,20,0,"[83.85517, 45.918972]"
4008,4040.0,0.0,1.0,0.005596338262973309,20,0,"[83.85517, 45.918972]"
4011,4040.0,6.0,0.9759115469745273,0.005549271224974287,20,0,"[83.85517, 45.918972]"
4014,4040.0,12.0,0.9043845755083543,0.005407100141527559,20,0,"[83.85517, 45.918972]"
4017,4040.0,18.0,0.8234936966794467,0.005241672439879534,20,0,"[83.85517, 45.918972]"
4068,6906.0,-6.0,0.9732296103297896,0.004016975039057369,21,1,"[76.59246, 80.823044]"
4071,6906.0,0.0,1.0,0.004060246661355439,21,1,"[76.59246, 80.823044]"
4074,6906.0,6.0,0.7737232620547766,0.003678492373792407,21,1,"[76.59246, 80.823044]"
4077,6906.0,12.0,0.5308857555952635,0.00321881866700717,21,1,"[76.59246, 80.823044]"
4080,6906.0,18.0,0.3105388049946431,0.002735674895413987,21,1,"[76.59246, 80.823044]"
4145,6906.0,-6.0,0.93867028814208,0.0038332429053278424,21,0,"[76.59246, 80.823044]"
4148,6906.0,0.0,1.0,0.00393097542824544,21,0,"[76.59246, 80.823044]"
4151,6906.0,6.0,0.8732056664433476,0.0037260945034438444,21,0,"[76.59246, 80.823044]"
4154,6906.0,12.0,0.686356232759558,0.003401756063530594,21,0,"[76.59246, 80.823044]"
4157,6906.0,18.0,0.5084185396432236,0.0030611064339521785,21,0,"[76.59246, 80.823044]"
4236,6808.0,-6.0,0.5934496990733016,0.0037206639146134643,22,1,"[65.169525, 66.934845]"
4239,6808.0,0.0,1.0,0.0044812602209391575,22,1,"[65.169525, 66.934845]"
4242,6808.0,6.0,0.7569832218356664,0.004043847181638964,22,1,"[65.169525, 66.934845]"
4245,6808.0,12.0,0.5516896739695433,0.003633531316976762,22,1,"[65.169525, 66.934845]"
4248,6808.0,18.0,0.3888565859579305,0.0032716878019288928,22,1,"[65.169525, 66.934845]"
4315,6808.0,-6.0,0.7933947557509098,0.004042741863374747,22,0,"[65.169525, 66.934845]"
4318,6808.0,0.0,1.0,0.00440799526763676,22,0,"[65.169525, 66.934845]"
4321,6808.0,6.0,0.9189746386952865,0.004268478548056696,22,0,"[65.169525, 66.934845]"
