,SNID,time,flux,fluxerr,object_index,band_index,norm_factor
51,5388760,-2.2,1.0157991719168116,0.1726131888499705,11,1,587.025579868553
52,5388760,-0.8999999999999999,0.3741455014744023,0.09564798889497594,11,1,587.025579868553
53,5388760,0.0,1.0,0.1584179204839526,11,0,587.025579868553
54,5388760,1.7999999999999994,0.4660617726214653,0.11539037612607138,11,0,587.025579868553
55,5388760,1.9999999999999996,0.4304207340159613,0.10911041396035483,11,0,587.025579868553
56,5023809,-2.2,0.6183179172238003,0.0548878999656198,12,1,2466.450545518928
57,5023809,-1.8,0.777605314076933,0.0575886750324808,12,1,2466.450545518928
58,5023809,0.7999999999999998,0.4509507039726336,0.05037396438139162,12,1,2466.450545518928
59,5023809,3.3,0.09533094264824553,0.024010183282975637,12,1,2466.450545518928
60,5023809,-2.7,0.22355565845151013,0.03691227531919093,12,0,2466.450545518928
61,5023809,-2.1,0.45025541223499005,0.043487554734437966,12,0,2466.450545518928
62,5023809,0.0,1.0,0.04941208551801809,12,0,2466.450545518928
63,5023809,3.8,0.34222925274026184,0.041317958988464625,12,0,2466.450545518928
64,5260717,-5.5,1.4654426562777232,0.19597973559353213,13,1,587.1358414036005
65,5260717,-3.6999999999999997,2.2390603849332806,0.22009576672678716,13,1,587.1358414036005
66,5260717,-3.5999999999999996,2.1431344004094366,0.2167115937811187,13,1,587.1358414036005
67,5260717,-1.7000000000000002,0.6759020357545331,0.1432183636552005,13,1,587.1358414036005
68,5260717,0.0,1.0,0.15839783834878546,13,0,587.1358414036005
69,5260717,0.09999999999999964,0.9387272848664706,0.15503907554491628,13,0,587.1358414036005
70,5260717,0.20000000000000018,0.8789398907404884,0.15134944867737707,13,0,587.1358414036005
71,2572209,-0.6999999999999997,0.3533437690813219,0.09073428316413526,14,1,608.9015666024914
72,2572209,0.0,1.0,0.15450568462838454,14,0,608.9015666024914
73,2572209,1.1,0.5061351918870641,0.12083399686603918,14,0,608.9015666024914
74,4273033,1.3,0.371011214631993,0.06986440525554934,15,1,1343.0406866670537
75,4273033,2.3000000000000003,0.18330957501139064,0.04570100542939621,15,1,1343.0406866670537
76,4273033,0.0,1.0,0.08165402024313818,15,0,1343.0406866670537
77,4273033,2.9000000000000004,0.3129110391762943,0.06222033643276498,15,0,1343.0406866670537
78,4273033,4.2,0.19376193658069152,0.04869352410903424,15,0,1343.0406866670537
79,8194306,-0.3,0.9422298573784836,0.1599655146427351,16,1,633.8207840648828
80,8194306,-0.19999999999999996,0.9695824756833437,0.14885014569374336,16,0,633.8207840648828
81,8194306,0.0,1.0,0.15021692047603533,16,0,633.8207840648828
82,8194306,0.5,0.7301880052760845,0.1357867707621701,16,0,633.8207840648828
83,6854994,1.0,0.6260190405868853,0.15909188451089612,17,1,360.528291328078
84,6854994,0.0,1.0,0.2193150288475794,17,0,360.528291328078
85,9875568,0.10000000000000009,0.36284822764115315,0.09446656326567718,18,1,556.1013129784527
86,9875568,0.0,1.0,0.16420453571337107,18,0,556.1013129784527
87,9875568,1.1,0.4523935906683075,0.11482596714517387,18,0,556.1013129784527
88,4127990,-2.9000000000000004,4.968144188187305,0.12036896391406476,19,1,1787.7986556223086
89,4127990,-2.1,1.6443095608388227,0.08781340265202048,19,1,1787.7986556223086
90,4127990,0.6999999999999993,0.18874243467799715,0.04316465368037763,19,1,1787.7986556223086
91,4127990,0.0,1.0,0.06444765442701626,19,0,1787.7986556223086
92,4127990,2.0999999999999996,0.478921937726099,0.05721989714620769,19,0,1787.7986556223086
